"EventID","MachineName","Data","EntryType","Message","Source","ReplacementStrings","TimeGenerated","TimeWritten","UserName"
"1001","DESKTOP-LUGE14R","System.Byte[]","Information","Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: wps.exe
P2: 12.2.0.16909
P3: 662d3006
P4: ksolite.dll
P5: 12.2.0.16909
P6: 662d3043
P7: c0000005
P8: 0054d9f2
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER62EE.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER6408.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER6438.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER6445.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER64C3.tmp.txt
\\?\C:\Users\Malaika\AppData\Local\Temp\WER6505.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_43ca5265-a0ab-47dd-b14d-af98a4644336\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_43ca5265-a0ab-47dd-b14d-af98a4644336

Analysis symbol: 
Rechecking for solution: 0
Report Id: 8e761136-f0da-46a9-8336-15c602a4f91a
Report Status: 4
Hashed bucket: 
Cab Guid: 0","Windows Error Reporting","System.String[]","18/05/2024 12:43:49","18/05/2024 12:43:49",
"1000","DESKTOP-LUGE14R","System.Byte[]","Error","Faulting application name: wps.exe, version: 12.2.0.16909, time stamp: 0x662d3006
Faulting module name: ksolite.dll, version: 12.2.0.16909, time stamp: 0x662d3043
Exception code: 0xc0000005
Fault offset: 0x0054d9f2
Faulting process ID: 0x231c
Faulting application start time: 0x01daa8f71d40e971
Faulting application path: C:\Users\Malaika\AppData\Local\Kingsoft\WPS Office\12.2.0.16909\office6\wps.exe
Faulting module path: C:\Users\Malaika\AppData\Local\Kingsoft\WPS Office\12.2.0.16909\office6\ksolite.dll
Report ID: 8e761136-f0da-46a9-8336-15c602a4f91a
Faulting package full name: 
Faulting package-relative application ID: ","Application Error","System.String[]","18/05/2024 12:43:47","18/05/2024 12:43:47",
"1001","DESKTOP-LUGE14R","System.Byte[]","Information","Fault bucket 1971078399849264591, type 1
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: wps.exe
P2: 12.2.0.16909
P3: 662d3006
P4: ksolite.dll
P5: 12.2.0.16909
P6: 662d3043
P7: c0000005
P8: 0054d9f2
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WEREB0D.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERED7F.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WEREDDD.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WEREDEB.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WEREE69.tmp.txt
\\?\C:\Users\Malaika\AppData\Local\Temp\WEREEAB.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_acfd1394-dee9-414f-aa61-947d0e7573bd\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_acfd1394-dee9-414f-aa61-947d0e7573bd

Analysis symbol: 
Rechecking for solution: 0
Report Id: 9d02fad7-b27b-4646-9b33-e9dc93e13315
Report Status: 268435456
Hashed bucket: ac692caaa33764794b5aad5c8775f5cf
Cab Guid: 0","Windows Error Reporting","System.String[]","18/05/2024 12:40:04","18/05/2024 12:40:04",
"1001","DESKTOP-LUGE14R","System.Byte[]","Information","Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: wps.exe
P2: 12.2.0.16909
P3: 662d3006
P4: ksolite.dll
P5: 12.2.0.16909
P6: 662d3043
P7: c0000005
P8: 0054d9f2
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WEREB0D.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERED7F.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WEREDDD.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WEREDEB.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WEREE69.tmp.txt
\\?\C:\Users\Malaika\AppData\Local\Temp\WEREEAB.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_acfd1394-dee9-414f-aa61-947d0e7573bd\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_acfd1394-dee9-414f-aa61-947d0e7573bd

Analysis symbol: 
Rechecking for solution: 0
Report Id: 9d02fad7-b27b-4646-9b33-e9dc93e13315
Report Status: 4
Hashed bucket: 
Cab Guid: 0","Windows Error Reporting","System.String[]","18/05/2024 12:40:02","18/05/2024 12:40:02",
"1000","DESKTOP-LUGE14R","System.Byte[]","Error","Faulting application name: wps.exe, version: 12.2.0.16909, time stamp: 0x662d3006
Faulting module name: ksolite.dll, version: 12.2.0.16909, time stamp: 0x662d3043
Exception code: 0xc0000005
Fault offset: 0x0054d9f2
Faulting process ID: 0x41b8
Faulting application start time: 0x01daa8f6950cb407
Faulting application path: C:\Users\Malaika\AppData\Local\Kingsoft\WPS Office\12.2.0.16909\office6\wps.exe
Faulting module path: C:\Users\Malaika\AppData\Local\Kingsoft\WPS Office\12.2.0.16909\office6\ksolite.dll
Report ID: 9d02fad7-b27b-4646-9b33-e9dc93e13315
Faulting package full name: 
Faulting package-relative application ID: ","Application Error","System.String[]","18/05/2024 12:39:59","18/05/2024 12:39:59",
"25753","DESKTOP-LUGE14R","System.Byte[]","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 12:36:24","18/05/2024 12:36:24","NT SERVICE\SQLTELEMETRY$SQLEXPRESS"
"25754","DESKTOP-LUGE14R","System.Byte[]","Information","XE session 'telemetry_xevents' stopping.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 12:36:24","18/05/2024 12:36:24","NT SERVICE\SQLTELEMETRY$SQLEXPRESS"
"0","DESKTOP-LUGE14R","System.Byte[]","Information","Service stopped.","edgeupdate","System.String[]","18/05/2024 12:21:40","18/05/2024 12:21:40",
"25753","DESKTOP-LUGE14R","System.Byte[]","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 11:36:22","18/05/2024 11:36:22","NT SERVICE\SQLTELEMETRY$SQLEXPRESS"
"25754","DESKTOP-LUGE14R","System.Byte[]","Information","XE session 'telemetry_xevents' stopping.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 11:36:22","18/05/2024 11:36:22","NT SERVICE\SQLTELEMETRY$SQLEXPRESS"
"3","DESKTOP-LUGE14R","System.Byte[]","Information","The description for Event ID '3' in Source 'iBtSiva' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'iBtSiva', 'Siva worker elapsed'","iBtSiva","System.String[]","18/05/2024 11:35:17","18/05/2024 11:35:17",
"0","DESKTOP-LUGE14R","System.Byte[]","Information","The description for Event ID '0' in Source 'avast' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'Service stopped'","avast","System.String[]","18/05/2024 11:35:02","18/05/2024 11:35:02",
"15","DESKTOP-LUGE14R","System.Byte[]","Information","Updated Avast Antivirus status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","18/05/2024 11:34:52","18/05/2024 11:34:52",
"15","DESKTOP-LUGE14R","System.Byte[]","Information","Updated Avast Antivirus status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","18/05/2024 11:34:52","18/05/2024 11:34:52",
"15","DESKTOP-LUGE14R","System.Byte[]","Information","Updated Avast Antivirus status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","18/05/2024 11:34:52","18/05/2024 11:34:52",
"15","DESKTOP-LUGE14R","System.Byte[]","Information","Updated Avast Antivirus status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","18/05/2024 11:34:52","18/05/2024 11:34:52",
"0","DESKTOP-LUGE14R","System.Byte[]","Information","The description for Event ID '0' in Source 'SynTPEnhService' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'SynTPEnhService', 'Session Changed User unlock'","SynTPEnhService","System.String[]","18/05/2024 11:34:22","18/05/2024 11:34:22",
"1","DESKTOP-LUGE14R","System.Byte[]","Information","The description for Event ID '1' in Source 'iBtSiva' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'iBtSiva', 'Siva worker starting'","iBtSiva","System.String[]","18/05/2024 11:34:17","18/05/2024 11:34:17",
"0","DESKTOP-LUGE14R","System.Byte[]","Information","The description for Event ID '0' in Source 'SynTPEnhService' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'SynTPEnhService', 'Session Changed User lock'","SynTPEnhService","System.String[]","18/05/2024 02:12:58","18/05/2024 02:12:58",
"15","DESKTOP-LUGE14R","System.Byte[]","Information","Updated Avast Antivirus status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","18/05/2024 02:09:53","18/05/2024 02:09:53",
"15","DESKTOP-LUGE14R","System.Byte[]","Information","Updated Avast Antivirus status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","18/05/2024 02:09:53","18/05/2024 02:09:53",
"15","DESKTOP-LUGE14R","System.Byte[]","Information","Updated Avast Antivirus status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","18/05/2024 02:09:52","18/05/2024 02:09:52",
"15","DESKTOP-LUGE14R","System.Byte[]","Information","Updated Avast Antivirus status successfully to SECURITY_PRODUCT_STATE_ON.","SecurityCenter","System.String[]","18/05/2024 02:09:52","18/05/2024 02:09:52",
"16394","DESKTOP-LUGE14R","System.Byte[]","Information","Offline downlevel migration succeeded.","Software Protection Platform Service","System.String[]","18/05/2024 01:47:30","18/05/2024 01:47:30",
"1001","DESKTOP-LUGE14R","System.Byte[]","Information","Fault bucket 1971078399849264591, type 1
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: wps.exe
P2: 12.2.0.16909
P3: 662d3006
P4: ksolite.dll
P5: 12.2.0.16909
P6: 662d3043
P7: c0000005
P8: 0054d9f2
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERDC5.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERF3D.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERF4D.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERF5B.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERF9A.tmp.txt
\\?\C:\Users\Malaika\AppData\Local\Temp\WERFDC.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_86a41054-6d7c-400c-aec7-1d3b0b0000c1\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_86a41054-6d7c-400c-aec7-1d3b0b0000c1

Analysis symbol: 
Rechecking for solution: 0
Report Id: e703ff6e-4cb0-4be2-a772-4d57283b6bc7
Report Status: 268435456
Hashed bucket: ac692caaa33764794b5aad5c8775f5cf
Cab Guid: 0","Windows Error Reporting","System.String[]","18/05/2024 01:36:08","18/05/2024 01:36:08",
"1001","DESKTOP-LUGE14R","System.Byte[]","Information","Fault bucket , type 0
Event Name: APPCRASH
Response: Not available
Cab Id: 0

Problem signature:
P1: wps.exe
P2: 12.2.0.16909
P3: 662d3006
P4: ksolite.dll
P5: 12.2.0.16909
P6: 662d3043
P7: c0000005
P8: 0054d9f2
P9: 
P10: 

Attached files:
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERDC5.tmp.mdmp
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERF3D.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERF4D.tmp.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERF5B.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WERF9A.tmp.txt
\\?\C:\Users\Malaika\AppData\Local\Temp\WERFDC.tmp.appcompat.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_86a41054-6d7c-400c-aec7-1d3b0b0000c1\memory.hdmp

These files may be available here:
\\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_wps.exe_d2b8f7d0ece18d1da4afdece5a66d249bb6358d_076bcc15_cab_86a41054-6d7c-400c-aec7-1d3b0b0000c1

Analysis symbol: 
Rechecking for solution: 0
Report Id: e703ff6e-4cb0-4be2-a772-4d57283b6bc7
Report Status: 4
Hashed bucket: 
Cab Guid: 0","Windows Error Reporting","System.String[]","18/05/2024 01:36:04","18/05/2024 01:36:04",
"1000","DESKTOP-LUGE14R","System.Byte[]","Error","Faulting application name: wps.exe, version: 12.2.0.16909, time stamp: 0x662d3006
Faulting module name: ksolite.dll, version: 12.2.0.16909, time stamp: 0x662d3043
Exception code: 0xc0000005
Fault offset: 0x0054d9f2
Faulting process ID: 0x2d3c
Faulting application start time: 0x01daa899d4f0a8f9
Faulting application path: C:\Users\Malaika\AppData\Local\Kingsoft\WPS Office\12.2.0.16909\office6\wps.exe
Faulting module path: C:\Users\Malaika\AppData\Local\Kingsoft\WPS Office\12.2.0.16909\office6\ksolite.dll
Report ID: e703ff6e-4cb0-4be2-a772-4d57283b6bc7
Faulting package full name: 
Faulting package-relative application ID: ","Application Error","System.String[]","18/05/2024 01:36:02","18/05/2024 01:36:02",
"8128","DESKTOP-LUGE14R","System.Byte[]","Information","Using 'xpstar.dll' version '2022.160.1000' to execute extended stored procedure 'xp_instance_regread'. This is an informational message only; no user action is required.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 01:24:09","18/05/2024 01:24:09",
"33090","DESKTOP-LUGE14R","System.Byte[]","Information","Attempting to load library 'xpstar.dll' into memory. This is an informational message only. No user action is required.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 01:24:09","18/05/2024 01:24:09",
"25753","DESKTOP-LUGE14R","System.Byte[]","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 01:15:25","18/05/2024 01:15:25","NT SERVICE\SQLTELEMETRY$SQLEXPRESS"
"25754","DESKTOP-LUGE14R","System.Byte[]","Information","XE session 'telemetry_xevents' stopping.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 01:15:25","18/05/2024 01:15:25","NT SERVICE\SQLTELEMETRY$SQLEXPRESS"
"25753","DESKTOP-LUGE14R","System.Byte[]","Information","XE session 'telemetry_xevents' started.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 00:15:22","18/05/2024 00:15:22","NT SERVICE\SQLTELEMETRY$SQLEXPRESS"
"25754","DESKTOP-LUGE14R","System.Byte[]","Information","XE session 'telemetry_xevents' stopping.","MSSQL$SQLEXPRESS","System.String[]","18/05/2024 00:15:22","18/05/2024 00:15:22","NT SERVICE\SQLTELEMETRY$SQLEXPRESS"
